time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-08T21:15:46.530Z,-0.8823,119.9899,10,5.1,mb,,79,2.132,1.06,us,us1000h8zg,2018-10-08T22:33:17.040Z,"13km E of Palu, Indonesia",earthquake,4.2,1.9,0.092,38,reviewed,us,us
2018-10-08T20:53:21.530Z,-4.7443,137.9981,35,4.6,mb,,115,6.015,0.46,us,us1000h8z3,2018-10-08T21:18:33.040Z,"204km ESE of Enarotali, Indonesia",earthquake,6,1.9,0.092,35,reviewed,us,us
2018-10-08T19:52:02.670Z,37.4342,141.4597,35,4.7,mb,,129,0.686,0.62,us,us1000h8xg,2018-10-09T04:57:27.807Z,"41km E of Namie, Japan",earthquake,7.4,1.9,0.042,175,reviewed,us,us
2018-10-08T17:24:25.790Z,-24.0068,-66.8511,200.37,4.5,mb,,54,1.608,0.94,us,us1000h8va,2018-10-08T21:51:33.040Z,"58km WNW of San Antonio de los Cobres, Argentina",earthquake,8.8,9.4,0.163,11,reviewed,us,us
2018-10-08T14:54:14.950Z,5.9385,126.0306,147.03,4.5,mb,,106,1.21,0.57,us,us1000h8rz,2018-10-09T14:48:19.040Z,"39km ESE of Lamitan, Philippines",earthquake,9.7,8.1,0.088,38,reviewed,us,us
2018-10-08T14:48:02.700Z,39.4408,75.1931,27.02,4.6,mb,,93,2.066,0.7,us,us1000h8rt,2018-10-09T14:38:48.040Z,"67km W of Kashi, China",earthquake,5.5,5.8,0.105,27,reviewed,us,us
2018-10-08T13:55:15.650Z,-5.5726,152.9227,10,4.7,mb,,98,1.566,0.78,us,us1000h8r2,2018-10-09T14:27:19.040Z,"122km S of Taron, Papua New Guinea",earthquake,7.3,1.9,0.083,44,reviewed,us,us
2018-10-08T12:53:58.480Z,42.5976,141.9641,29.2,4.6,mb,,74,1.059,0.74,us,us1000h8q7,2018-10-08T15:24:03.124Z,"29km E of Tomakomai, Japan",earthquake,6.1,4.5,0.063,74,reviewed,us,us
2018-10-08T12:05:56.490Z,23.5439,-108.9649,10,4.7,mb,,160,0.909,1.09,us,us1000h8pv,2018-10-09T18:32:48.040Z,"92km NE of San Jose del Cabo, Mexico",earthquake,8.8,2,0.043,168,reviewed,us,us
2018-10-08T05:45:32.250Z,23.6612,143.9489,45.93,4.9,mb,,101,3.773,0.92,us,us1000h8mj,2018-10-08T06:07:44.040Z,"293km ESE of Iwo Jima, Japan",earthquake,10.9,7.6,0.05,125,reviewed,us,us
2018-10-07T21:54:47.630Z,9.4591,126.2615,61.53,4.9,mb,,46,2.468,0.99,us,us1000h8in,2018-10-07T22:35:57.805Z,"21km NNE of Cortes, Philippines",earthquake,7.9,6.3,0.036,237,reviewed,us,us
2018-10-07T20:56:05.850Z,19.6802,-109.0461,10,4.5,mb,,231,4.072,1.09,us,us1000h8i2,2018-10-07T21:10:55.040Z,"226km ENE of Socorro Island, Mexico",earthquake,11.2,1.9,0.045,144,reviewed,us,us
2018-10-07T20:00:17.310Z,20.0598,-72.9122,10,5.2,mww,,55,1.635,0.67,us,us1000h8hi,2018-10-09T16:09:33.040Z,"16km NNW of Ti Port-de-Paix, Haiti",earthquake,6.4,1.9,0.071,19,reviewed,us,us
